X,Y,date_ech,code_qual,lib_qual,coul_qual,date_dif,source,type_zone,code_zone,lib_zone,code_no2,code_so2,code_o3,code_pm10,code_pm25,x_wgs84,y_wgs84,x_reg,y_reg,epsg_reg,ObjectId
525099.973369243,6407405.65985274,2021/07/20 00:00:00+00,3,Dégradé,#F0E641,2021/07/21 00:00:00+00,Atmo Grand Est,commune,8105,Charleville-Mézières,1,1,3,2,2,4.71705331768345,49.7750293409841,823755,6965357,2154,1
525099.973369243,6407405.65985274,2021/07/21 00:00:00+00,2,Moyen,#50CCAA,2021/07/21 00:00:00+00,Atmo Grand Est,commune,8105,Charleville-Mézières,1,1,2,2,2,4.71705331768345,49.7750293409841,823755,6965357,2154,2
525099.973369243,6407405.65985274,2021/07/22 00:00:00+00,3,Dégradé,#F0E641,2021/07/21 00:00:00+00,Atmo Grand Est,commune,8105,Charleville-Mézières,1,1,3,2,1,4.71705331768345,49.7750293409841,823755,6965357,2154,3
525099.973369243,6407405.65985274,2021/07/23 00:00:00+00,3,Dégradé,#F0E641,2021/07/21 00:00:00+00,Atmo Grand Est,commune,8105,Charleville-Mézières,1,1,3,2,1,4.71705331768345,49.7750293409841,823755,6965357,2154,4
525099.973369243,6407405.65985274,2021/07/24 00:00:00+00,3,Dégradé,#F0E641,2021/07/21 00:00:00+00,Atmo Grand Est,commune,8105,Charleville-Mézières,1,1,3,1,1,4.71705331768345,49.7750293409841,823755,6965357,2154,5
454009.792700605,6156363.30418946,2021/01/01 00:00:00+00,3,Dégradé,#F0E641,2021/07/21 00:00:00+00,Atmo Grand Est,commune,10387,Troyes,1,1,1,2,3,4.07843935922889,48.2967325837441,779977,6800146,2154,6
454009.792700605,6156363.30418946,2021/01/02 00:00:00+00,2,Moyen,#50CCAA,2021/07/21 00:00:00+00,Atmo Grand Est,commune,10387,Troyes,1,1,1,1,2,4.07843935922889,48.2967325837441,779977,6800146,2154,7
454009.792700605,6156363.30418946,2021/01/03 00:00:00+00,2,Moyen,#50CCAA,2021/07/21 00:00:00+00,Atmo Grand Est,commune,10387,Troyes,1,1,1,2,2,4.07843935922889,48.2967325837441,779977,6800146,2154,8
454009.792700605,6156363.30418946,2021/01/04 00:00:00+00,2,Moyen,#50CCAA,2021/07/21 00:00:00+00,Atmo Grand Est,commune,10387,Troyes,1,1,1,1,2,4.07843935922889,48.2967325837441,779977,6800146,2154,9
454009.792700605,6156363.30418946,2021/01/05 00:00:00+00,2,Moyen,#50CCAA,2021/07/21 00:00:00+00,Atmo Grand Est,commune,10387,Troyes,1,1,1,1,2,4.07843935922889,48.2967325837441,779977,6800146,2154,10
