FID,id,date_ech,code_qual,lib_qual,coul_qual,date_dif,source,type_zone,code_zone,lib_zone,code_no2,code_so2,code_o3,code_pm10,code_pm25,x_wgs84,y_wgs84,x_reg,y_reg,epsg_reg,geom
ind_bfc.176681,176681,2021-06-25T00:00:00Z,2,Moyen,#50ccaa,2021-06-26T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176682,176682,2021-06-26T00:00:00Z,2,Moyen,#50ccaa,2021-06-27T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176683,176683,2021-06-27T00:00:00Z,2,Moyen,#50ccaa,2021-06-28T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176684,176684,2021-06-28T00:00:00Z,2,Moyen,#50ccaa,2021-06-29T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176685,176685,2021-06-29T00:00:00Z,2,Moyen,#50ccaa,2021-06-30T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176686,176686,2021-06-30T00:00:00Z,2,Moyen,#50ccaa,2021-07-01T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176687,176687,2021-07-01T00:00:00Z,2,Moyen,#50ccaa,2021-07-02T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176688,176688,2021-07-02T00:00:00Z,2,Moyen,#50ccaa,2021-07-03T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176689,176689,2021-07-03T00:00:00Z,2,Moyen,#50ccaa,2021-07-04T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176690,176690,2021-07-04T00:00:00Z,2,Moyen,#50ccaa,2021-07-05T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176691,176691,2021-07-05T00:00:00Z,2,Moyen,#50ccaa,2021-07-06T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176692,176692,2021-07-06T00:00:00Z,2,Moyen,#50ccaa,2021-07-07T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176693,176693,2021-07-07T00:00:00Z,2,Moyen,#50ccaa,2021-07-08T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176694,176694,2021-07-08T00:00:00Z,2,Moyen,#50ccaa,2021-07-09T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176695,176695,2021-07-09T00:00:00Z,2,Moyen,#50ccaa,2021-07-10T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176696,176696,2021-07-10T00:00:00Z,2,Moyen,#50ccaa,2021-07-11T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176697,176697,2021-07-11T00:00:00Z,2,Moyen,#50ccaa,2021-07-12T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176698,176698,2021-07-12T00:00:00Z,2,Moyen,#50ccaa,2021-07-13T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176699,176699,2021-07-13T00:00:00Z,2,Moyen,#50ccaa,2021-07-14T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176700,176700,2021-07-14T00:00:00Z,2,Moyen,#50ccaa,2021-07-15T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176701,176701,2021-07-15T00:00:00Z,2,Moyen,#50ccaa,2021-07-16T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
ind_bfc.176702,176702,2021-07-16T00:00:00Z,2,Moyen,#50ccaa,2021-07-17T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25189,Dammartin-les-Templiers,1,1,2,1,1,6.26706,47.29076,946846,6692934,2154,POINT (946845.5999810859 6692934.199507363)
